name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
武汉快手电话,0,0,0,0%,0%,0%,0%,0%,0%,90
有点抖音,0,0,0,0%,0%,0%,0%,0%,0%,91
路雅交易,0,0,0,0%,0%,0%,0%,0%,0%,92
申抖音3,0,0,0,0%,0%,0%,0%,0%,0%,93
申抖音4加v,0,0,0,0%,0%,0%,0%,0%,0%,94
外采快手短信,0,0,0,0%,0%,0%,0%,0%,0%,95
数伯客3,0,0,0,0%,0%,0%,0%,0%,0%,96
数伯客4,0,0,0,0%,0%,0%,0%,0%,0%,97
支付宝,0,0,0,0%,0%,0%,0%,0%,0%,98
申抖16捉羊日记,0,0,0,0%,0%,0%,0%,0%,0%,99
申抖音5,0,0,0,0%,0%,0%,0%,0%,0%,100
申抖17财经小孙,0,0,0,0%,0%,0%,0%,0%,0%,101
申抖18龙头掘金,0,0,0,0%,0%,0%,0%,0%,0%,102
天天启号快手,0,0,0,0%,0%,0%,0%,0%,0%,103
天天启号抖音,0,0,0,0%,0%,0%,0%,0%,0%,104
数伯客5,0,0,0,0%,0%,0%,0%,0%,0%,105
数伯客6,0,0,0,0%,0%,0%,0%,0%,0%,106
数伯客7,0,0,0,0%,0%,0%,0%,0%,0%,107
数伯客8,0,0,0,0%,0%,0%,0%,0%,0%,108
数伯客9,0,0,0,0%,0%,0%,0%,0%,0%,109
ZKY-快手掌财,0,0,0,0%,0%,0%,0%,0%,0%,110
抖涨抖音1,0,0,0,0%,0%,0%,0%,0%,0%,111
抖涨抖音2,0,0,0,0%,0%,0%,0%,0%,0%,112
文字-头条微博,0,0,0,0%,0%,0%,0%,0%,0%,113
重庆有术短线擒牛抓板,0,0,0,0%,0%,0%,0%,0%,0%,114
冠汉抖音,0,0,0,0%,0%,0%,0%,0%,0%,116
申抖16捉龙日记-4.24,0,0,0,0%,0%,0%,0%,0%,0%,117
申抖18龙头日记,0,0,0,0%,0%,0%,0%,0%,0%,118
申抖17掘金师妹,0,0,0,0%,0%,0%,0%,0%,0%,119
申抖18掘金师兄,0,0,0,0%,0%,0%,0%,0%,0%,120
申抖16掘金日记,0,0,0,0%,0%,0%,0%,0%,0%,121
申抖18捉牛师兄,0,0,0,0%,0%,0%,0%,0%,0%,122
