name,current_xindanliang,current_xindanliang_1,current_xindanliang_2,current_xindanlv,current_xindanlv_1,current_xindanlv_2,xindanlv3,xindanlv3_1,xindanlv3_2,id
兰君子-投机乔帮主,0,,,0%,,,0%,,,226
兰君子-投机战神,0,,,0%,,,0%,,,227
兰君子-上塘路心法,0,,,0%,,,0%,,,228
兰君子-朱朱说市,0,,,0%,,,0%,,,230
兰君子-论市道股,0,,,0%,,,0%,,,231
兰君子-股海点金石,0,,,0%,,,0%,,,243
兰君子-抓板训练营,0,,,0%,,,0%,,,244
兰君子-短线选股,0,,,0%,,,0%,,,245
兰君子-短线大A,0,,,0%,,,0%,,,246
兰君子-华宇九九,0,,,0%,,,0%,,,247
兰君子-A股小白龙LV,0,,,0%,,,0%,,,262
兰君子-主力狙击,0,,,0%,,,0%,,,273
兰君子-大A小杨哥,0,,,0%,,,0%,,,279
兰君子-大a鼓掌,0,,,0%,,,0%,,,280
快手,0,,,0%,,,0%,,,10048
视频号,0,,,0%,,,0%,,,10049
深圳-逍遥财经,0,,,0%,,,0%,,,148
深圳快手,0,,,0%,,,0%,,,82
天天启号快手,0,,,0%,,,0%,,,103
天天启号抖音,0,,,0%,,,0%,,,104
重庆有术短线擒牛抓板,0,,,0%,,,0%,,,114
重庆有术短线股三疯,0,,,0%,,,0%,,,141
重庆有术擒牛绝世南风,0,,,0%,,,0%,,,147
重庆有术-华尔街女团,0,,,0%,,,0%,,,151
重庆有术-短线K姐,0,,,0%,,,0%,,,154
重庆有术-炒股奔小康,0,,,0%,,,0%,,,155
重庆有术-大A神话,0,,,0%,,,0%,,,156
有点视频号,0,,,0%,,,0%,,,10058
有点抖音推广,0,,,0%,,,0%,,,10060
有点快手,0,,,0%,,,0%,,,10061
有点快手,0,,,0%,,,0%,,,137
有点抖音,0,,,0%,,,0%,,,91
有点测试资源,0,,,0%,,,0%,,,198
有点抖音电话,0,,,0%,,,0%,,,212
有点-投机天王,0,,,0%,,,0%,,,208
有点-股市指路人,0,,,0%,,,0%,,,241
有点-Ａ股策略先锋,0,,,0%,,,0%,,,242
冠汉快手,0,,,0%,,,0%,,,10041
冠汉抖音,0,,,0%,,,0%,,,10042
冠汉视频号,0,,,0%,,,0%,,,10043
冠汉财经A财神,0,,,0%,,,0%,,,125
冠汉黑马财经V,0,,,0%,,,0%,,,126
冠汉财经作手小师妹,0,,,0%,,,0%,,,127
冠汉财经大师兄V,0,,,0%,,,0%,,,139
冠汉主力先锋YL,0,,,0%,,,0%,,,184
冠汉黑马作手,0,,,0%,,,0%,,,189
冠汉财经小书生V,0,,,0%,,,0%,,,190
冠汉-价值老赵LV,0,,,0%,,,0%,,,248
冠汉抖音,0,,,0%,,,0%,,,116
武汉冠汉快手,0,,,0%,,,0%,,,78
武汉快手电话,0,,,0%,,,0%,,,90
AI智能,0,,,0%,,,0%,,,9
数伯客,0,,,0%,,,0%,,,83
时微1,0,,,0%,,,0%,,,85
数伯客2,0,,,0%,,,0%,,,86
数伯客3,0,,,0%,,,0%,,,96
数伯客4,0,,,0%,,,0%,,,97
数伯客5,0,,,0%,,,0%,,,105
数伯客6,0,,,0%,,,0%,,,106
数伯客7,0,,,0%,,,0%,,,107
数伯客8,0,,,0%,,,0%,,,108
数伯客9,0,,,0%,,,0%,,,109
数伯客10,0,,,0%,,,0%,,,191
数伯客11,0,,,0%,,,0%,,,192
数伯客12,0,,,0%,,,0%,,,193
时微2,1,,,11.11%,,,11.11%,,,426
时微短信1,0,,,0%,,,0%,,,439
时微短信2,0,,,0%,,,0%,,,440
时微短信3,0,,,0%,,,0%,,,441
学思1,0,,,0%,,,0%,,,622
学思2,0,,,0%,,,0%,,,623
学思3,0,,,0%,,,0%,,,624
学思4,0,,,0%,,,0%,,,625
学思5,0,,,0%,,,0%,,,626
学思6,0,,,0%,,,0%,,,627
投教一部字节,49,,,3.06%,,,1.5%,,,10037
投教一部快手,0,,,0%,,,0%,,,10038
投教一部视频号,803,,,5.81%,,,2.29%,,,10039
趋势周期,0,,,0%,,,0%,,,10118
投教一部百度,0,,,0%,,,0%,,,10126
yl百度直播-55,0,,,0%,,,0%,,,578
投教一部-李卓群,0,,,0%,,,0%,,,481
投教一部视频号暂停渠道,0,,,0%,,,0%,,,10106
M-短线狙击客,0,,,0%,,,0%,,,53
投教一部视频号评论,0,,,0%,,,0%,,,79
M-星耀炒家,0,,,0%,,,0%,,,180
M-短线捉大妖,0,,,0%,,,0%,,,195
M-赵老哥实盘-FL,0,,,0%,,,0%,,,196
M-题材大王,0,,,0%,,,0%,,,202
M-财经涨本事,0,,,0%,,,0%,,,213
M-猎庄星座,0,,,0%,,,0%,,,249
M-有用闲聊,0,,,0%,,,0%,,,259
M-野马笔记,0,,,0%,,,0%,,,260
M-江边潜伏家,0,,,0%,,,0%,,,261
M-主力先锋,0,,,0%,,,0%,,,334
M-股市指路人,0,,,0%,,,0%,,,337
M-有用闲聊付费,0,,,0%,,,0%,,,447
M-猎庄星座付费,0,,,0%,,,0%,,,458
M-大A聊财经,0,,,0%,,,0%,,,484
M-短线主管,0,,,0%,,,0%,,,488
M-多头司令,0,,,0%,,,0%,,,489
M-题材狙击侠,0,,,0%,,,0%,,,492
M-题材管家,50,,,4.73%,,,1.8%,,,493
M-股海明月光,0,,,0%,,,0%,,,502
M-股海独钓客,500,,,5.75%,,,2.15%,,,503
M-实战训练课,50,,,6.36%,,,2.93%,,,505
M-题材方法论,0,,,0%,,,0%,,,512
M-股海魅影,184,,,6.31%,,,2.81%,,,513
M-江城小鳄鱼,5,,,7.58%,,,0%,,,657
M-金股训练营,0,,,0%,,,0%,,,658
M-短线波王,0,,,0%,,,0%,,,661
M-股道圣手,14,,,4.83%,,,1.72%,,,662
M-趋势谷道,0,,,0%,,,0%,,,28
M-股道论财,0,,,0%,,,0%,,,29
M-涨上封,0,,,0%,,,0%,,,30
M-均线王者,0,,,0%,,,0%,,,31
M-寻龙掘金,0,,,0%,,,0%,,,34
M-一阳指向天,0,,,0%,,,0%,,,38
M-龙头阻击,0,,,0%,,,0%,,,42
M-捉羊大师姐,0,,,0%,,,0%,,,43
M-师兄看市,0,,,0%,,,0%,,,50
M-牛牛论市,0,,,0%,,,0%,,,52
M-辣手擒牛,0,,,0%,,,0%,,,56
M-涨上赢家,0,,,0%,,,0%,,,64
M-妙手捉牛,0,,,0%,,,0%,,,67
M-捉牛大师兄,0,,,0%,,,0%,,,68
M-妙手捉羊,0,,,0%,,,0%,,,76
M-牛牛日志,0,,,0%,,,0%,,,128
M-捕牛达人,0,,,0%,,,0%,,,129
M-黑马来评,0,,,0%,,,0%,,,130
M-黑马日志,0,,,0%,,,0%,,,131
M-寻牛找马,0,,,0%,,,0%,,,132
M-倍量之王,0,,,0%,,,0%,,,133
M-淘金敢死队,0,,,0%,,,0%,,,134
M-新高小魔王,0,,,0%,,,0%,,,135
M-神牛来评,0,,,0%,,,0%,,,136
M-神牛捕手,0,,,0%,,,0%,,,138
M-火车头捕手,0,,,0%,,,0%,,,160
M-寻龙圣手,0,,,0%,,,0%,,,161
M-黑猫探金,0,,,0%,,,0%,,,162
M-超短急先锋,0,,,0%,,,0%,,,163
M-谷掌柜论市,0,,,0%,,,0%,,,167
M-妙手捉牛,0,,,0%,,,0%,,,174
M-A股一点红,0,,,0%,,,0%,,,179
M-龙头潜伏家,0,,,0%,,,0%,,,185
M-趋势玩家,0,,,0%,,,0%,,,194
M-量价舵手,0,,,0%,,,0%,,,203
M-趋势论财,0,,,0%,,,0%,,,204
M-势如黑马,0,,,0%,,,0%,,,205
M-主升浪王,0,,,0%,,,0%,,,206
M-短线谢队长,0,,,0%,,,0%,,,257
M-盼盼陪你说情绪,0,,,0%,,,0%,,,258
M-杨公子话A市-短视频,0,,,0%,,,0%,,,274
投教一部快手,0,,,0%,,,0%,,,84
KS-财经狙击客,0,,,0%,,,0%,,,490
投教一部字节暂停渠道,0,,,0%,,,0%,,,10105
申抖17财经小孙,0,,,0%,,,0%,,,101
申抖17财经胡一叨,2,,,1.47%,,,0.74%,,,215
申抖16-野马笔记,0,,,0%,,,0%,,,233
SK17-2 胡胖胖侃股,0,,,0%,,,0%,,,385
SK17-3老吴不吃面,0,,,0%,,,0%,,,473
SK17-4财经张连长,0,,,0%,,,0%,,,474
SK16-5浩姐聊财经,0,,,0%,,,0%,,,495
SK16-4婷姐看市,0,,,0%,,,0%,,,514
SK16-3-向前论财,0,,,0%,,,0%,,,535
SK16-6-方姐聊财经,41,,,3.82%,,,1.77%,,,589
SK18-1-小翟聊财经,0,,,0%,,,0%,,,604
SK16-5财经睿见,0,,,0%,,,0%,,,631
SK18-2慧姐财经,6,,,2.16%,,,1.44%,,,652
MD-捉羊日记,0,,,0%,,,0%,,,77
MD-龙头刺客,0,,,0%,,,0%,,,80
申抖16捉羊日记,0,,,0%,,,0%,,,99
申抖18龙头掘金,0,,,0%,,,0%,,,102
申抖16捉龙日记-4.24,0,,,0%,,,0%,,,117
申抖18龙头日记,0,,,0%,,,0%,,,118
申抖17掘金师妹,0,,,0%,,,0%,,,119
申抖18掘金师兄,0,,,0%,,,0%,,,120
申抖16掘金日记,0,,,0%,,,0%,,,121
申抖18捉牛师兄,0,,,0%,,,0%,,,122
申抖17捉龙师兄,0,,,0%,,,0%,,,123
申抖18捉羊师兄,0,,,0%,,,0%,,,124
申抖16稳健老韭,0,,,0%,,,0%,,,164
百度,940,,,6.39%,,,2.86%,,,10002
腾讯,1270,,,5.39%,,,2.55%,,,10003
字节,5635,,,5.16%,,,2.57%,,,10004
快手,435,,,3.97%,,,1.84%,,,10029
360,394,,,5.29%,,,2.55%,,,10030
微博,1,,,14.29%,,,14.29%,,,10031
